source,dest,value,interaction
Afghanistan,Australia,21968,migration
Afghanistan,Belgium,1059,migration
Afghanistan,Canada,42100,migration
Afghanistan,Czech Republic,211,migration
Afghanistan,Denmark,12293,migration
Afghanistan,Finland,580,migration
Afghanistan,France,2958,migration
Afghanistan,Germany,79444,migration
Afghanistan,Greece,567,migration
Afghanistan,Hungary,606,migration
Afghanistan,India,8414,migration
Afghanistan,Iran Islamic Rep ,1704199,migration
Afghanistan,Ireland,238,migration
Afghanistan,Italy,1382,migration
Afghanistan,Japan,710,migration
Afghanistan,Netherlands,30986,migration
Afghanistan,New Zealand,2346,migration
Afghanistan,Norway,4516,migration
Afghanistan,Philippines,973,migration
Afghanistan,Poland,162,migration
Afghanistan,Saudi Arabia,17227,migration
Afghanistan,Slovak Republic,168,migration
Afghanistan,Spain,483,migration
Afghanistan,Sweden,8504,migration
Afghanistan,Switzerland,2222,migration
Afghanistan,Tajikistan,56816,migration
Afghanistan,Turkey,10796,migration
Afghanistan,United Kingdom,61408,migration
Afghanistan,United States,61906,migration
Albania,Australia,2628,migration
Albania,Austria,2397,migration
Albania,Belgium,1884,migration
Albania,Canada,11985,migration
Albania,Cuba,107,migration
Albania,Cyprus,246,migration
Albania,Czech Republic,180,migration
Albania,Denmark,272,migration
Albania,France,3037,migration
Albania,Germany,15964,migration
Albania,Greece,676846,migration
Albania,Hungary,117,migration
Albania,Ireland,467,migration
Albania,Italy,522647,migration
Albania,Luxembourg,267,migration
Albania,Macedonia FYR,91128,migration
Albania,Netherlands,711,migration
Albania,New Zealand,118,migration
Albania,Norway,303,migration
Albania,Philippines,725,migration
Albania,Slovenia,195,migration
Albania,Spain,1847,migration
Albania,Sweden,652,migration
Albania,Switzerland,1688,migration
Albania,Turkey,3712,migration
Albania,United Kingdom,3065,migration
Albania,United States,83018,migration
Algeria,Australia,1261,migration
Algeria,Austria,734,migration
Algeria,Bahrain,2311,migration
Algeria,Belgium,21550,migration
Algeria,Canada,37543,migration
Algeria,Czech Republic,330,migration
Algeria,Denmark,1187,migration
Algeria,Egypt Arab Rep,1246,migration
Algeria,Finland,769,migration
Algeria,France,913794,migration
Algeria,Germany,21081,migration
Algeria,Greece,378,migration
Algeria,Hungary,610,migration
Algeria,Iraq,290,migration
Algeria,Ireland,1945,migration
Algeria,Israel,47199,migration
Algeria,Italy,29480,migration
Algeria,Japan,155,migration
Algeria,Jordan,2827,migration
Algeria,Luxembourg,405,migration
Algeria,Madagascar,3586,migration
Algeria,Mali,615,migration
Algeria,Mauritania,2744,migration
Algeria,Mexico,131,migration
Algeria,Netherlands,3833,migration
Algeria,New Zealand,135,migration
Algeria,Norway,1216,migration
Algeria,Philippines,674,migration
Algeria,Poland,529,migration
Algeria,Portugal,267,migration
Algeria,Spain,63346,migration
Algeria,Sudan,419,migration
Algeria,Sweden,2223,migration
Algeria,Switzerland,6748,migration
Algeria,Tunisia,12176,migration
Algeria,Turkey,726,migration
Algeria,United Kingdom,15612,migration
Algeria,United States,7306,migration
American Samoa,Australia,209,migration
American Samoa,Fiji,165,migration
American Samoa,Kiribati,110,migration
American Samoa,New Zealand,550,migration
American Samoa,Samoa,3003,migration
American Samoa,United States,41101,migration
Andorra,France,1403,migration
Andorra,Portugal,592,migration
Andorra,Spain,6171,migration
Andorra,Tanzania,438,migration
Angola,Australia,526,migration
Angola,Belgium,3041,migration
Angola,Brazil,6379,migration
Angola,Canada,3545,migration
Angola,Cape Verde,2393,migration
Angola,Chile,101,migration
Angola,Congo Rep,10573,migration
Angola,Czech Republic,136,migration
Angola,Denmark,157,migration
Angola,Finland,192,migration
Angola,France,18906,migration
Angola,Germany,11742,migration
Angola,Ireland,1319,migration
Angola,Italy,2121,migration
Angola,Luxembourg,423,migration
Angola,Namibia,67540,migration
Angola,Netherlands,6552,migration
Angola,Norway,189,migration
Angola,Philippines,3141,migration
Angola,Portugal,245650,migration
Angola,Spain,4646,migration
Angola,Suo Tom and Principe,1843,migration
Angola,Sweden,619,migration
Angola,Switzerland,4773,migration
Angola,Tanzania,3063,migration
Angola,United Kingdom,11449,migration
Angola,United States,5637,migration
Angola,Venezuela RB,118,migration
Angola,Zambia,93496,migration
Antigua and Barbuda,Canada,2724,migration
Antigua and Barbuda,Dominica,401,migration
Antigua and Barbuda,Dominican Republic,397,migration
Antigua and Barbuda,Netherlands Antilles,1239,migration
Antigua and Barbuda,Philippines,7495,migration
Antigua and Barbuda,St Kitts and Nevis,188,migration
Antigua and Barbuda,St Lucia,205,migration
Antigua and Barbuda,United Kingdom,5154,migration
Antigua and Barbuda,United States,17611,migration
Antigua and Barbuda,Virgin Islands (U.S.),5293,migration
Argentina,Andorra,224,migration
Argentina,Australia,14190,migration
Argentina,Austria,1166,migration
Argentina,Belgium,1835,migration
Argentina,Bolivia,45424,migration
Argentina,Brazil,27700,migration
Argentina,Canada,21094,migration
Argentina,Chile,82539,migration
Argentina,Colombia,2570,migration
Argentina,Croatia,211,migration
Argentina,Cuba,164,migration
Argentina,Czech Republic,312,migration
Argentina,Denmark,1302,migration
Argentina,Dominican Republic,3940,migration
Argentina,Ecuador,7394,migration
Argentina,El Salvador,207,migration
Argentina,Finland,270,migration
Argentina,France,11151,migration
Argentina,Germany,7391,migration
Argentina,Greece,415,migration
Argentina,Guatemala,432,migration
Argentina,Honduras,118,migration
Argentina,Hungary,249,migration
Argentina,Ireland,546,migration
Argentina,Israel,48312,migration
Argentina,Italy,16243,migration
Argentina,Japan,3893,migration
Argentina,Luxembourg,139,migration
Argentina,Mauritania,114,migration
Argentina,Mexico,9508,migration
Argentina,Netherlands,2644,migration
Argentina,New Zealand,994,migration
Argentina,Nicaragua,227,migration
Argentina,Norway,826,migration
Argentina,Panama,1154,migration
Argentina,Paraguay,59115,migration
Argentina,Peru,2997,migration
Argentina,Philippines,818,migration
Argentina,Poland,189,migration
Argentina,Portugal,1465,migration
Argentina,Slovak Republic,115,migration
Argentina,Spain,331173,migration
Argentina,Sweden,3220,migration
Argentina,Switzerland,5706,migration
Argentina,Turkey,158,migration
Argentina,United Kingdom,9002,migration
Argentina,United States,163353,migration
Argentina,Uruguay,22743,migration
Argentina,Venezuela RB,8533,migration
Armenia,Australia,1156,migration
Armenia,Austria,589,migration
Armenia,Azerbaijan,42596,migration
Armenia,Belarus,6074,migration
Armenia,Belgium,1153,migration
Armenia,Canada,2555,migration
Armenia,Cyprus,1037,migration
Armenia,Czech Republic,931,migration
Armenia,Denmark,744,migration
Armenia,Finland,148,migration
Armenia,France,14481,migration
Armenia,Georgia,17769,migration
Armenia,Germany,15515,migration
Armenia,Greece,8769,migration
Armenia,Iran Islamic Rep ,1375,migration
Armenia,Ireland,135,migration
Armenia,Israel,16509,migration
Armenia,Italy,554,migration
Armenia,Kazakhstan,7357,migration
Armenia,Latvia,3164,migration
Armenia,Lithuania,431,migration
Armenia,Netherlands,1912,migration
Armenia,Norway,167,migration
Armenia,Poland,1941,migration
Armenia,Russian Federation,493126,migration
Armenia,Slovak Republic,164,migration
Armenia,Spain,12388,migration
Armenia,Sweden,888,migration
Armenia,Switzerland,474,migration
Armenia,Turkey,891,migration
Armenia,Turkmenistan,7248,migration
Armenia,Ukraine,53193,migration
Armenia,United Kingdom,789,migration
Armenia,United States,77208,migration
Armenia,Uruguay,215,migration
Aruba,Canada,819,migration
Aruba,Colombia,248,migration
Aruba,Dominican Republic,492,migration
Aruba,Netherlands,1032,migration
Aruba,Netherlands Antilles,3777,migration
Aruba,United States,6249,migration
Aruba,Venezuela RB,387,migration
Australia,Austria,2203,migration
Australia,Belgium,1515,migration
Australia,Bolivia,127,migration
Australia,Brazil,449,migration
Australia,Brunei Darussalam,530,migration
Australia,Cambodia,548,migration
Australia,Canada,21140,migration
Australia,Chile,1607,migration
Australia,Colombia,177,migration
Australia,Croatia,932,migration
Australia,Cyprus,2631,migration
Australia,Czech Republic,232,migration
Australia,Denmark,1764,migration
Australia,Dominican Republic,108,migration
Australia,Ecuador,515,migration
Australia,Egypt Arab Rep,260,migration
Australia,Fiji,1770,migration
Australia,Finland,1126,migration
Australia,France,4803,migration
Australia,Germany,14014,migration
Australia,Greece,1904,migration
Australia,Hungary,846,migration
Australia,Iceland,146,migration
Australia,India,691,migration
Australia,Ireland,9674,migration
Australia,Italy,2716,migration
Australia,Japan,11160,migration
Australia,Jordan,2054,migration
Australia,Korea Rep,2509,migration
Australia,Luxembourg,115,migration
Australia,Malaysia,6903,migration
Australia,Malta,2450,migration
Australia,Marshall Islands,149,migration
Australia,Mauritius,431,migration
Australia,Mexico,408,migration
Australia,Nepal,2077,migration
Australia,Netherlands,9984,migration
Australia,New Zealand,68629,migration
Australia,Nigeria,1087,migration
Australia,Norway,1601,migration
Australia,Papua New Guinea,15531,migration
Australia,Philippines,2983,migration
Australia,Poland,580,migration
Australia,Portugal,1681,migration
Australia,Samoa,632,migration
Australia,Slovak Republic,331,migration
Australia,Solomon Islands,589,migration
Australia,South Africa,2643,migration
Australia,Spain,6191,migration
Australia,Sri Lanka,436,migration
Australia,Sweden,3060,migration
Australia,Switzerland,3838,migration
Australia,Thailand,4239,migration
Australia,Timor-Leste,238,migration
Australia,Turkey,3292,migration
Australia,Uganda,226,migration
Australia,United Kingdom,121775,migration
Australia,United States,77619,migration
Australia,Uruguay,261,migration
Australia,Vanuatu,254,migration
Australia,Venezuela RB,109,migration
Australia,Zambia,207,migration
Austria,Australia,21968,migration
Austria,Belgium,4222,migration
Austria,Bolivia,223,migration
Austria,Brazil,3232,migration
Austria,Canada,24208,migration
Austria,Chile,901,migration
Austria,Colombia,167,migration
Austria,Croatia,1808,migration
Austria,Cyprus,311,migration
Austria,Czech Republic,7433,migration
Austria,Denmark,1627,migration
Austria,Dominican Republic,1440,migration
Austria,Ecuador,750,migration
Austria,Egypt Arab Rep,262,migration
Austria,Finland,536,migration
Austria,France,13865,migration
Austria,Germany,280520,migration
Austria,Greece,2522,migration
Austria,Hungary,6651,migration
Austria,Iceland,152,migration
Austria,Ireland,914,migration
Austria,Israel,4318,migration
Austria,Italy,8594,migration
Austria,Japan,579,migration
Austria,Jordan,955,migration
Austria,Liechtenstein,2222,migration
Austria,Luxembourg,746,migration
Austria,Mexico,732,migration
Austria,Netherlands,6475,migration
Austria,New Zealand,1464,migration
Austria,Norway,1513,migration
Austria,Paraguay,132,migration
Austria,Peru,150,migration
Austria,Philippines,2064,migration
Austria,Poland,4133,migration
Austria,Portugal,551,migration
Austria,Slovak Republic,2441,migration
Austria,Slovenia,833,migration
Austria,Spain,10672,migration
Austria,Sweden,7232,migration
Austria,Switzerland,61293,migration
Austria,Turkey,16060,migration
Austria,United Kingdom,21857,migration
Austria,United States,53738,migration
Austria,Uruguay,223,migration
Austria,Venezuela RB,722,migration
Azerbaijan,Armenia,164483,migration
Azerbaijan,Australia,315,migration
Azerbaijan,Austria,196,migration
Azerbaijan,Belarus,3792,migration
Azerbaijan,Belgium,111,migration
Azerbaijan,Canada,2631,migration
Azerbaijan,Czech Republic,186,migration
Azerbaijan,Denmark,188,migration
Azerbaijan,France,350,migration
Azerbaijan,Georgia,7819,migration
Azerbaijan,Germany,23265,migration
Azerbaijan,Greece,156,migration
Azerbaijan,Iran Islamic Rep ,2155,migration
Azerbaijan,Ireland,112,migration
Azerbaijan,Israel,35101,migration
Azerbaijan,Italy,254,migration
Azerbaijan,Kazakhstan,38921,migration
Azerbaijan,Latvia,5212,migration
Azerbaijan,Lithuania,849,migration
Azerbaijan,Netherlands,2821,migration
Azerbaijan,Norway,221,migration
Azerbaijan,Poland,358,migration
Azerbaijan,Russian Federation,866843,migration
Azerbaijan,Spain,569,migration
Azerbaijan,Sweden,541,migration
Azerbaijan,Switzerland,152,migration
Azerbaijan,Turkey,18807,migration
Azerbaijan,Turkmenistan,7895,migration
Azerbaijan,Ukraine,92536,migration
Azerbaijan,United Kingdom,751,migration
Azerbaijan,United States,9689,migration
Bahamas,Australia,315,migration
Bahamas,Canada,1129,migration
Bahamas,Cayman Islands,223,migration
Bahamas,Dominican Republic,135,migration
Bahamas,Japan,101,migration
Bahamas,Netherlands Antilles,170,migration
Bahamas,Spain,105,migration
Bahamas,United Kingdom,2380,migration
Bahamas,United States,37796,migration
Bahrain,Australia,1261,migration
Bahrain,Canada,1851,migration
Bahrain,Denmark,126,migration
Bahrain,Egypt Arab Rep,336,migration
Bahrain,Ireland,389,migration
Bahrain,Jordan,3494,migration
Bahrain,Netherlands,109,migration
Bahrain,New Zealand,318,migration
Bahrain,Philippines,10435,migration
Bahrain,Sudan,168,migration
Bahrain,United Kingdom,5543,migration
Bahrain,United States,3183,migration
Bangladesh,Australia,20497,migration
Bangladesh,Austria,1763,migration
Bangladesh,Belgium,1208,migration
Bangladesh,Brunei Darussalam,1334,migration
Bangladesh,Canada,38684,migration
Bangladesh,Cyprus,574,migration
Bangladesh,Denmark,525,migration
Bangladesh,Egypt Arab Rep,433,migration
Bangladesh,Fiji,576,migration
Bangladesh,Finland,709,migration
Bangladesh,France,1912,migration
Bangladesh,Germany,7093,migration
Bangladesh,Greece,4556,migration
Bangladesh,India,3299268,migration
Bangladesh,Ireland,2873,migration
Bangladesh,Italy,71830,migration
Bangladesh,Japan,11385,migration
Bangladesh,Jordan,56978,migration
Bangladesh,Korea Rep,5227,migration
Bangladesh,Kuwait,208893,migration
Bangladesh,Malaysia,122912,migration
Bangladesh,Myanmar,1230,migration
Bangladesh,Nepal,641,migration
Bangladesh,Netherlands,1027,migration
Bangladesh,New Zealand,1572,migration
Bangladesh,Northern Mariana Islands,1107,migration
Bangladesh,Norway,774,migration
Bangladesh,Oman,149275,migration
Bangladesh,Philippines,939,migration
Bangladesh,Portugal,371,migration
Bangladesh,Saudi Arabia,447055,migration
Bangladesh,Singapore,20432,migration
Bangladesh,Spain,8706,migration
Bangladesh,Sweden,4110,migration
Bangladesh,Switzerland,925,migration
Bangladesh,Thailand,5180,migration
Bangladesh,Turkey,370,migration
Bangladesh,United Arab Emirates,100668,migration
Bangladesh,United Kingdom,210244,migration
Bangladesh,United States,148326,migration
Barbados,Antigua and Barbuda,223,migration
Barbados,Australia,420,migration
Barbados,Canada,17840,migration
Barbados,Cayman Islands,247,migration
Barbados,Germany,274,migration
Barbados,Guyana,295,migration
Barbados,Netherlands Antilles,549,migration
Barbados,New Zealand,180,migration
Barbados,St Lucia,1220,migration
Barbados,St Vincent and the Grenadines,532,migration
Barbados,Sweden,128,migration
Barbados,Trinidad and Tobago,1294,migration
Barbados,United Kingdom,28612,migration
Barbados,United States,50229,migration
Belarus,Argentina,139,migration
Belarus,Australia,1472,migration
Belarus,Austria,554,migration
Belarus,Belgium,541,migration
Belarus,Canada,8463,migration
Belarus,Cyprus,298,migration
Belarus,Czech Republic,1321,migration
Belarus,Denmark,560,migration
Belarus,Egypt Arab Rep,264,migration
Belarus,Estonia,10765,migration
Belarus,Finland,256,migration
Belarus,France,1078,migration
Belarus,Georgia,310,migration
Belarus,Germany,29134,migration
Belarus,Greece,541,migration
Belarus,Ireland,1148,migration
Belarus,Israel,49204,migration
Belarus,Italy,5546,migration
Belarus,Japan,269,migration
Belarus,Kazakhstan,55623,migration
Belarus,Latvia,11488,migration
Belarus,Lithuania,35502,migration
Belarus,Moldova,2631,migration
Belarus,Netherlands,515,migration
Belarus,New Zealand,187,migration
Belarus,Norway,320,migration
Belarus,Poland,112197,migration
Belarus,Portugal,186,migration
Belarus,Russian Federation,958719,migration
Belarus,Slovak Republic,194,migration
Belarus,Spain,3829,migration
Belarus,Sweden,1303,migration
Belarus,Switzerland,178,migration
Belarus,Turkey,337,migration
Belarus,Ukraine,276070,migration
Belarus,United Kingdom,1546,migration
Belarus,United States,32007,migration
Belgium,Andorra,331,migration
Belgium,Australia,6412,migration
Belgium,Austria,1990,migration
Belgium,Bolivia,496,migration
Belgium,Brazil,1416,migration
Belgium,Canada,23533,migration
Belgium,Chile,1441,migration
Belgium,Colombia,349,migration
Belgium,Cyprus,230,migration
Belgium,Czech Republic,763,migration
Belgium,Denmark,1086,migration
Belgium,Dominican Republic,731,migration
Belgium,Ecuador,1172,migration
Belgium,Egypt Arab Rep,234,migration
Belgium,Finland,354,migration
Belgium,France,137974,migration
Belgium,Gabon,535,migration
Belgium,Germany,35982,migration
Belgium,Greece,855,migration
Belgium,Guinea,204,migration
Belgium,Hungary,1141,migration
Belgium,Iceland,177,migration
Belgium,Ireland,1873,migration
Belgium,Italy,7559,migration
Belgium,Japan,706,migration
Belgium,Luxembourg,17665,migration
Belgium,Mauritania,107,migration
Belgium,Mexico,1081,migration
Belgium,Monaco,716,migration
Belgium,Netherlands,47940,migration
Belgium,New Zealand,758,migration
Belgium,Norway,1319,migration
Belgium,Paraguay,109,migration
Belgium,Peru,253,migration
Belgium,Philippines,1057,migration
Belgium,Poland,2626,migration
Belgium,Portugal,4060,migration
Belgium,Rwanda,2450,migration
Belgium,Slovak Republic,553,migration
Belgium,Spain,53684,migration
Belgium,Sweden,1643,migration
Belgium,Switzerland,12051,migration
Belgium,Turkey,9804,migration
Belgium,United Kingdom,22898,migration
Belgium,United States,34635,migration
Belgium,Uruguay,172,migration
Belgium,Venezuela RB,344,migration
Belize,Australia,105,migration
Belize,Bolivia,1574,migration
Belize,Canada,2421,migration
Belize,Cayman Islands,423,migration
Belize,Costa Rica,172,migration
Belize,El Salvador,325,migration
Belize,Guatemala,714,migration
Belize,Honduras,225,migration
Belize,Mexico,1593,migration
Belize,Panama,128,migration
Belize,United Kingdom,1633,migration
Belize,United States,39840,migration
Benin,Belgium,559,migration
Benin,Burkina Faso,6513,migration
Benin,Canada,517,migration
Benin,Central African Republic,205,migration
Benin,Congo Rep,5624,migration
Benin,Cote d Ivoire,62371,migration
Benin,France,17163,migration
Benin,Gabon,32173,migration
Benin,Germany,1889,migration
Benin,Guinea,2310,migration
Benin,Italy,2768,migration
Benin,Liberia,270,migration
Benin,Mali,577,migration
Benin,Mauritania,929,migration
Benin,Netherlands,244,migration
Benin,Niger,27691,migration
Benin,Nigeria,238561,migration
Benin,Spain,492,migration
Benin,Switzerland,221,migration
Benin,Togo,74336,migration
Benin,United Kingdom,317,migration
Benin,United States,1415,migration
Bermuda,Australia,420,migration
Bermuda,Canada,2253,migration
Bermuda,Ireland,184,migration
Bermuda,New Zealand,210,migration
Bermuda,Portugal,324,migration
Bermuda,United Kingdom,3955,migration
Bermuda,United States,7774,migration
Bhutan,Australia,210,migration
Bhutan,Belgium,104,migration
Bhutan,France,272,migration
Bhutan,Germany,557,migration
Bhutan,India,6915,migration
Bhutan,Nepal,31053,migration
Bhutan,United Kingdom,114,migration
Bhutan,United States,420,migration
Bolivia,Argentina,220869,migration
Bolivia,Australia,841,migration
Bolivia,Belgium,965,migration
Bolivia,Brazil,20513,migration
Bolivia,Canada,4383,migration
Bolivia,Chile,18707,migration
Bolivia,Colombia,658,migration
Bolivia,Denmark,275,migration
Bolivia,Dominican Republic,542,migration
Bolivia,Ecuador,2094,migration
Bolivia,France,1346,migration
Bolivia,Germany,2565,migration
Bolivia,Guatemala,106,migration
Bolivia,Italy,7858,migration
Bolivia,Japan,6580,migration
Bolivia,Mexico,2000,migration
Bolivia,Netherlands,670,migration
Bolivia,New Zealand,151,migration
Bolivia,Norway,454,migration
Bolivia,Panama,274,migration
Bolivia,Paraguay,996,migration
Bolivia,Peru,2314,migration
Bolivia,Philippines,662,migration
Bolivia,Spain,274602,migration
Bolivia,Sweden,3075,migration
Bolivia,Switzerland,1430,migration
Bolivia,United Kingdom,1514,migration
Bolivia,United States,72890,migration
Bolivia,Uruguay,326,migration
Bolivia,Venezuela RB,1798,migration
Bosnia and Herzegovina,Argentina,586,migration
Bosnia and Herzegovina,Australia,39732,migration
Bosnia and Herzegovina,Austria,162362,migration
Bosnia and Herzegovina,Brazil,675,migration
Bosnia and Herzegovina,Canada,33445,migration
Bosnia and Herzegovina,Croatia,532528,migration
Bosnia and Herzegovina,Czech Republic,1457,migration
Bosnia and Herzegovina,Denmark,22977,migration
Bosnia and Herzegovina,Finland,2891,migration
Bosnia and Herzegovina,France,14749,migration
Bosnia and Herzegovina,Germany,252262,migration
Bosnia and Herzegovina,Greece,444,migration
Bosnia and Herzegovina,Iceland,339,migration
Bosnia and Herzegovina,Ireland,2377,migration
Bosnia and Herzegovina,Italy,35571,migration
Bosnia and Herzegovina,Liechtenstein,316,migration
Bosnia and Herzegovina,Luxembourg,2081,migration
Bosnia and Herzegovina,Macedonia FYR,3046,migration
Bosnia and Herzegovina,Netherlands,611,migration
Bosnia and Herzegovina,New Zealand,532,migration
Bosnia and Herzegovina,Norway,17181,migration
Bosnia and Herzegovina,Poland,3487,migration
Bosnia and Herzegovina,Slovak Republic,358,migration
Bosnia and Herzegovina,Slovenia,82669,migration
Bosnia and Herzegovina,Spain,2344,migration
Bosnia and Herzegovina,Sweden,59264,migration
Bosnia and Herzegovina,Switzerland,52078,migration
Bosnia and Herzegovina,Turkey,2653,migration
Bosnia and Herzegovina,United Kingdom,8864,migration
Bosnia and Herzegovina,United States,121495,migration
Botswana,Australia,1156,migration
Botswana,Canada,252,migration
Botswana,France,195,migration
Botswana,Germany,149,migration
Botswana,Ireland,272,migration
Botswana,Namibia,2741,migration
Botswana,Netherlands,211,migration
Botswana,New Zealand,138,migration
Botswana,Norway,135,migration
Botswana,South Africa,41846,migration
Botswana,Tanzania,398,migration
Botswana,United Kingdom,2717,migration
Botswana,United States,1922,migration
Botswana,Zambia,275,migration
Botswana,Zimbabwe,4244,migration
Brazil,Argentina,32839,migration
Brazil,Australia,10511,migration
Brazil,Austria,3557,migration
Brazil,Belgium,5444,migration
Brazil,Bolivia,24189,migration
Brazil,Canada,17607,migration
Brazil,Cape Verde,142,migration
Brazil,Chile,11820,migration
Brazil,Colombia,1878,migration
Brazil,Croatia,127,migration
Brazil,Czech Republic,116,migration
Brazil,Denmark,2166,migration
Brazil,Dominican Republic,1417,migration
Brazil,Ecuador,3636,migration
Brazil,El Salvador,232,migration
Brazil,Finland,496,migration
Brazil,France,28560,migration
Brazil,Germany,38079,migration
Brazil,Greece,1258,migration
Brazil,Guatemala,187,migration
Brazil,Guinea,244,migration
Brazil,Guyana,1467,migration
Brazil,Honduras,146,migration
Brazil,Hungary,218,migration
Brazil,Ireland,6968,migration
Brazil,Italy,49213,migration
Brazil,Japan,320624,migration
Brazil,Jordan,872,migration
Brazil,Luxembourg,669,migration
Brazil,Mauritania,272,migration
Brazil,Mexico,3380,migration
Brazil,Netherlands,11908,migration
Brazil,New Zealand,1926,migration
Brazil,Nicaragua,170,migration
Brazil,Norway,2374,migration
Brazil,Panama,1164,migration
Brazil,Paraguay,76315,migration
Brazil,Peru,1816,migration
Brazil,Philippines,5162,migration
Brazil,Poland,261,migration
Brazil,Portugal,70350,migration
Brazil,Slovak Republic,116,migration
Brazil,Spain,162205,migration
Brazil,Suriname,6783,migration
Brazil,Sweden,4877,migration
Brazil,Switzerland,16820,migration
Brazil,Turkey,385,migration
Brazil,United Kingdom,57245,migration
Brazil,United States,339141,migration
Brazil,Uruguay,11712,migration
Brazil,Venezuela RB,4720,migration
Brunei Darussalam,Australia,3153,migration
Brunei Darussalam,Canada,5151,migration
Brunei Darussalam,Malaysia,7905,migration
Brunei Darussalam,Netherlands,583,migration
Brunei Darussalam,New Zealand,312,migration
Brunei Darussalam,Philippines,1003,migration
Brunei Darussalam,United Kingdom,3685,migration
Brunei Darussalam,United States,853,migration
Bulgaria,Australia,3469,migration
Bulgaria,Austria,9199,migration
Bulgaria,Belgium,3097,migration
Bulgaria,Brazil,284,migration
Bulgaria,Canada,18568,migration
Bulgaria,Chile,168,migration
Bulgaria,Cuba,131,migration
Bulgaria,Cyprus,5434,migration
Bulgaria,Czech Republic,4736,migration
Bulgaria,Denmark,1358,migration
Bulgaria,Dominican Republic,533,migration
Bulgaria,Ecuador,267,migration
Bulgaria,Finland,860,migration
Bulgaria,France,16493,migration
Bulgaria,Georgia,1200,migration
Bulgaria,Germany,74675,migration
Bulgaria,Greece,53973,migration
Bulgaria,Hungary,1646,migration
Bulgaria,Iceland,173,migration
Bulgaria,Ireland,1364,migration
Bulgaria,Israel,14568,migration
Bulgaria,Italy,43530,migration
Bulgaria,Japan,464,migration
Bulgaria,Kazakhstan,3430,migration
Bulgaria,Luxembourg,200,migration
Bulgaria,Mexico,322,migration
Bulgaria,Moldova,42871,migration
Bulgaria,Netherlands,7639,migration
Bulgaria,New Zealand,811,migration
Bulgaria,Nicaragua,108,migration
Bulgaria,Norway,1504,migration
Bulgaria,Philippines,1319,migration
Bulgaria,Poland,2063,migration
Bulgaria,Portugal,886,migration
Bulgaria,Romania,19752,migration
Bulgaria,Slovak Republic,1093,migration
Bulgaria,Slovenia,206,migration
Bulgaria,Spain,173255,migration
Bulgaria,Sweden,4636,migration
Bulgaria,Switzerland,3086,migration
Bulgaria,Turkey,538686,migration
Bulgaria,United Kingdom,35388,migration
Bulgaria,United States,33611,migration
Bulgaria,Venezuela RB,109,migration
Burkina Faso,Belgium,524,migration
Burkina Faso,Benin,10606,migration
Burkina Faso,Canada,441,migration
Burkina Faso,Cote d Ivoire,1310892,migration
Burkina Faso,France,5324,migration
Burkina Faso,Gabon,3767,migration
Burkina Faso,Germany,3675,migration
Burkina Faso,Guinea,472,migration
Burkina Faso,Italy,11651,migration
Burkina Faso,Mali,22365,migration
Burkina Faso,Netherlands,309,migration
Burkina Faso,Niger,29881,migration
Burkina Faso,Nigeria,8307,migration
Burkina Faso,Spain,708,migration
Burkina Faso,Switzerland,261,migration
Burkina Faso,United Kingdom,131,migration
Burkina Faso,United States,810,migration
Burundi,Australia,1261,migration
Burundi,Belgium,4991,migration
Burundi,Canada,4860,migration
Burundi,Denmark,391,migration
Burundi,France,1370,migration
Burundi,Germany,740,migration
Burundi,Italy,653,migration
Burundi,Netherlands,2698,migration
Burundi,New Zealand,128,migration
Burundi,Norway,180,migration
Burundi,Rwanda,44785,migration
Burundi,Spain,121,migration
Burundi,Sweden,515,migration
Burundi,Switzerland,388,migration
Burundi,Tanzania,151313,migration
Burundi,Uganda,101826,migration
Burundi,United Kingdom,2678,migration
Burundi,United States,1187,migration
Cambodia,Australia,30167,migration
Cambodia,Austria,797,migration
Cambodia,Belgium,1456,migration
Cambodia,Canada,23504,migration
Cambodia,Denmark,180,migration
Cambodia,Dominican Republic,176,migration
Cambodia,Finland,170,migration
Cambodia,France,69859,migration
Cambodia,Germany,1279,migration
Cambodia,Italy,376,migration
Cambodia,Japan,2503,migration
Cambodia,Korea Rep,3053,migration
Cambodia,Lao PDR,909,migration
Cambodia,Netherlands,663,migration
Cambodia,New Zealand,6402,migration
Cambodia,Norway,273,migration
Cambodia,Philippines,232,migration
Cambodia,Spain,114,migration
Cambodia,Sweden,430,migration
Cambodia,Switzerland,2073,migration
Cambodia,Thailand,49750,migration
Cambodia,United Kingdom,935,migration
Cambodia,United States,148774,migration
Cameroon,Australia,210,migration
Cameroon,Belgium,3209,migration
Cameroon,Canada,3597,migration
Cameroon,Central African Republic,6993,migration
Cameroon,Chad,48547,migration
Cameroon,Congo Rep,3135,migration
Cameroon,Denmark,255,migration
Cameroon,Equatorial Guinea,2067,migration
Cameroon,France,68250,migration
Cameroon,Gabon,33876,migration
Cameroon,Germany,15559,migration
Cameroon,Greece,172,migration
Cameroon,Ireland,586,migration
Cameroon,Italy,9024,migration
Cameroon,Japan,264,migration
Cameroon,Luxembourg,105,migration
Cameroon,Mali,630,migration
Cameroon,Mauritania,663,migration
Cameroon,Netherlands,1752,migration
Cameroon,Nigeria,25296,migration
Cameroon,Norway,451,migration
Cameroon,Spain,5517,migration
Cameroon,Sweden,311,migration
Cameroon,Switzerland,2842,migration
Cameroon,United Kingdom,4282,migration
Cameroon,United States,26912,migration
